,City Name,Latitude,Longitude,Maximum Temp,Humidity,Cloud Coverage,Wind Speed,Country,Date and Time
0,thompson,55.7435,-97.8558,42.3,94,100,17.11,CA,1628740895
1,busselton,-33.65,115.3333,62.04,79,93,7.45,AU,1628740777
2,codrington,-38.2667,141.9667,57.81,68,50,15.21,AU,1628740896
3,rikitea,-23.1203,-134.9692,73.09,69,1,7.18,PF,1628740897
4,saint-philippe,-21.3585,55.7679,71.19,82,39,13.71,RE,1628740897
5,portland,45.5234,-122.6762,95.04,41,40,1.01,US,1628740207
6,hobart,-42.8794,147.3294,57.06,56,20,5.99,AU,1628740610
7,namanga,-2.5433,36.7905,60.33,83,86,3.02,KE,1628740899
8,dingle,10.9995,122.6711,88.56,63,69,6.62,PH,1628740899
9,port elizabeth,-33.918,25.5701,54.1,85,20,25.3,ZA,1628740900
10,jiwani,25.05,61.7417,80.78,79,99,9.24,PK,1628740900
11,menongue,-14.6585,17.691,50.83,31,0,4.52,AO,1628740901
12,new norfolk,-42.7826,147.0587,56.7,59,46,4.0,AU,1628740901
13,oudtshoorn,-33.5907,22.2014,46.76,94,83,12.66,ZA,1628740901
14,nikolskoye,59.7035,30.7861,58.01,72,100,5.01,RU,1628740902
15,longyearbyen,78.2186,15.6401,44.44,100,90,9.22,SJ,1628740902
16,akcaabat,41.0212,39.5715,76.87,61,75,6.91,TR,1628740903
17,hithadhoo,-0.6,73.0833,82.47,73,100,14.88,MV,1628740903
18,mahebourg,-20.4081,57.7,74.25,84,23,12.46,MU,1628740870
19,chokurdakh,70.6333,147.9167,65.05,71,96,4.25,RU,1628740904
20,jamestown,42.097,-79.2353,73.51,86,74,5.99,US,1628740835
21,luanda,-8.8368,13.2343,71.6,88,75,4.61,AO,1628740629
22,harper,4.375,-7.7169,77.27,81,100,12.08,LR,1628740904
23,carnarvon,-24.8667,113.6333,68.83,27,0,16.2,AU,1628740905
24,tuatapere,-46.1333,167.6833,60.82,76,100,6.85,NZ,1628740905
25,georgetown,5.4112,100.3354,88.9,73,20,1.01,MY,1628740749
26,mataura,-46.1927,168.8643,60.48,69,93,3.62,NZ,1628740906
27,wake forest,35.9799,-78.5097,80.89,84,75,1.01,US,1628740796
